Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_001535815.1	ASM153581v1	Pseudomonas savastanoi pv. nerii		CFBP 5067					PRJNA287460	SAMN03992215
GCA_002269785.1	ASM226978v1	Pseudomonas savastanoi pv. fraxini		NCPPB 1006					PRJNA388451	SAMN07177411
GCF_002269785.1	ASM226978v1	Pseudomonas savastanoi pv. fraxini		NCPPB 1006					PRJNA388451	SAMN07177411
GCA_002270015.1	ASM227001v1	Pseudomonas savastanoi pv. nerii		ESC 23					PRJNA388634	SAMN07179550
GCF_002270015.1	ASM227001v1	Pseudomonas savastanoi pv. nerii		ESC 23					PRJNA388634	SAMN07179550
GCA_002115545.1	ASM211554v1	Pseudomonas savastanoi pv. retacarpa		CECT 4861					PRJNA381903	SAMN06691537
GCF_002115545.1	ASM211554v1	Pseudomonas savastanoi pv. retacarpa		CECT 4861					PRJNA381903	SAMN06691537
GCA_001400575.1	PneICMP16943	Pseudomonas savastanoi pv. nerii		ICMP16943					PRJNA292453	SAMN03976271
GCF_001400575.1	PneICMP16943	Pseudomonas savastanoi pv. nerii		ICMP 16943					PRJNA292453	SAMN03976271
GCA_003699255.1	ASM369925v1	Pseudomonas savastanoi pv. retacarpa		ICMP 16947					PRJNA292453	SAMN03976525
GCF_003699255.1	ASM369925v1	Pseudomonas savastanoi pv. retacarpa		ICMP 16947					PRJNA292453	SAMN03976525
GCA_003700445.1	ASM370044v1	Pseudomonas savastanoi pv. fraxini		ICMP 9129					PRJNA292453	SAMN03976407
GCF_003700445.1	ASM370044v1	Pseudomonas savastanoi pv. fraxini		ICMP 9129					PRJNA292453	SAMN03976407
GCA_003701475.1	ASM370147v1	Pseudomonas savastanoi pv. fraxini		ICMP 9132					PRJNA292453	SAMN03976406
GCF_003701475.1	ASM370147v1	Pseudomonas savastanoi pv. fraxini		ICMP 9132					PRJNA292453	SAMN03976406
GCA_003701485.1	ASM370148v1	Pseudomonas savastanoi pv. fraxini		ICMP 7712					PRJNA292453	SAMN03976405
GCF_003701485.1	ASM370148v1	Pseudomonas savastanoi pv. fraxini		ICMP 7712					PRJNA292453	SAMN03976405
GCA_003702335.1	ASM370233v1	Pseudomonas savastanoi pv. nerii		ICMP 16944					PRJNA292453	SAMN03976353
GCF_003702335.1	ASM370233v1	Pseudomonas savastanoi pv. nerii		ICMP 16944					PRJNA292453	SAMN03976353
GCA_003701975.1	ASM370197v1	Pseudomonas savastanoi pv. nerii		ICMP 13786					PRJNA292453	SAMN03976367
GCF_003701975.1	ASM370197v1	Pseudomonas savastanoi pv. nerii		ICMP 13786					PRJNA292453	SAMN03976367
GCA_001400935.1	PreICMP16945	Pseudomonas savastanoi pv. retacarpa		ICMP16945					PRJNA292453	SAMN03976259
GCF_001400935.1	PreICMP16945	Pseudomonas savastanoi pv. retacarpa		ICMP 16945					PRJNA292453	SAMN03976259
GCA_000225805.1	ASM22580v1	Pseudomonas savastanoi pv. phaseolicola 1644R		1644R					PRJNA72523	SAMN02471563
GCF_000225805.1	ASM22580v1	Pseudomonas savastanoi pv. phaseolicola 1644R		1644R					PRJNA72523	SAMN02471563
GCA_000143005.1	ASM14300v1	Pseudomonas savastanoi pv. glycinea str. race 4		race 4					PRJNA33197	SAMN02471322
GCF_000143005.1	ASM14300v1	Pseudomonas savastanoi pv. glycinea str. race 4		race 4					PRJNA33197	SAMN02471322
GCA_003413325.1	ASM341332v1	Pseudomonas savastanoi pv. phaseolicola		520					PRJNA481030	SAMN09655432
GCF_003413325.1	ASM341332v1	Pseudomonas savastanoi pv. phaseolicola		520					PRJNA481030	SAMN09655432
GCA_003413065.1	ASM341306v1	Pseudomonas savastanoi pv. phaseolicola		521					PRJNA481030	SAMN09655433
GCF_003413065.1	ASM341306v1	Pseudomonas savastanoi pv. phaseolicola		521					PRJNA481030	SAMN09655433
GCA_003701695.1	ASM370169v1	Pseudomonas savastanoi		ICMP 13927					PRJNA292453	SAMN03976385
GCF_003701695.1	ASM370169v1	Pseudomonas savastanoi		ICMP 13927					PRJNA292453	SAMN03976385
GCA_003700495.1	ASM370049v1	Pseudomonas savastanoi		ICMP 13685					PRJNA292453	SAMN03976395
GCF_003700495.1	ASM370049v1	Pseudomonas savastanoi		ICMP 13685					PRJNA292453	SAMN03976395
GCA_003702985.1	ASM370298v1	Pseudomonas savastanoi		ICMP 11897					PRJNA292453	SAMN03976341
GCF_003702985.1	ASM370298v1	Pseudomonas savastanoi		ICMP 11897					PRJNA292453	SAMN03976341
GCA_000751155.1	PSV1.0	Pseudomonas savastanoi pv. savastanoi							PRJEB6503	SAMEA2587588
GCF_000751155.1	PSV1.0	Pseudomonas savastanoi pv. savastanoi							PRJEB6503	SAMEA2587588
GCA_003205945.1	ASM320594v1	Pseudomonas savastanoi pv. glycinea		2411					PRJNA472857	SAMN09235868
GCF_003205945.1	ASM320594v1	Pseudomonas savastanoi pv. glycinea		2411					PRJNA472857	SAMN09235868
GCA_003701285.1	ASM370128v1	Pseudomonas savastanoi pv. glycinea		ICMP 2236					PRJNA292453	SAMN03976419
GCF_003701285.1	ASM370128v1	Pseudomonas savastanoi pv. glycinea		ICMP 2236					PRJNA292453	SAMN03976419
GCA_003699315.1	ASM369931v1	Pseudomonas savastanoi pv. glycinea		ICMP 9589					PRJNA292453	SAMN03976522
GCF_003699315.1	ASM369931v1	Pseudomonas savastanoi pv. glycinea		ICMP 9589					PRJNA292453	SAMN03976522
GCA_003701325.1	ASM370132v1	Pseudomonas savastanoi pv. glycinea		ICMP 3482					PRJNA292453	SAMN03976416
GCA_003702035.1	ASM370203v1	Pseudomonas savastanoi pv. nerii		ICMP 13781					PRJNA292453	SAMN03976366
GCF_003702035.1	ASM370203v1	Pseudomonas savastanoi pv. nerii		ICMP 13781					PRJNA292453	SAMN03976366
GCA_003700145.1	ASM370014v1	Pseudomonas savastanoi pv. retacarpa		ICMP 16946					PRJNA292453	SAMN03976447
GCF_003700145.1	ASM370014v1	Pseudomonas savastanoi pv. retacarpa		ICMP 16946					PRJNA292453	SAMN03976447
