Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_900589555.1	p2.F12	Pseudomonas viridiflava					p2.F12		PRJEB24450	SAMEA104472694
GCA_900582375.1	p13.F6	Pseudomonas viridiflava					p13.F6		PRJEB24450	SAMEA104471976
GCF_900582375.1	p13.F6	Pseudomonas viridiflava					p13.F6		PRJEB24450	SAMEA104471976
GCA_900602135.1	p8.H4	Pseudomonas viridiflava					p8.H4		PRJEB24450	SAMEA104473193
GCF_900602135.1	p8.H4	Pseudomonas viridiflava					p8.H4		PRJEB24450	SAMEA104473193
GCA_900601705.1	p8.E10	Pseudomonas viridiflava					p8.E10		PRJEB24450	SAMEA104473160
GCF_900601705.1	p8.E10	Pseudomonas viridiflava					p8.E10		PRJEB24450	SAMEA104473160
GCA_900602355.1	p9.B12	Pseudomonas viridiflava					p9.B12		PRJEB24450	SAMEA104473212
GCF_900602355.1	p9.B12	Pseudomonas viridiflava					p9.B12		PRJEB24450	SAMEA104473212
GCA_900602995.1	p9.H7	Pseudomonas viridiflava					p9.H7		PRJEB24450	SAMEA104473284
GCF_900602995.1	p9.H7	Pseudomonas viridiflava					p9.H7		PRJEB24450	SAMEA104473284
GCA_900601805.1	p8.F11	Pseudomonas viridiflava					p8.F11		PRJEB24450	SAMEA104473172
GCF_900601805.1	p8.F11	Pseudomonas viridiflava					p8.F11		PRJEB24450	SAMEA104473172
GCA_900601885.1	p8.F12	Pseudomonas viridiflava					p8.F12		PRJEB24450	SAMEA104473173
GCF_900601885.1	p8.F12	Pseudomonas viridiflava					p8.F12		PRJEB24450	SAMEA104473173
GCA_900583055.1	p1.D12	Pseudomonas viridiflava					p1.D12		PRJEB24450	SAMEA104472035
GCF_900583055.1	p1.D12	Pseudomonas viridiflava					p1.D12		PRJEB24450	SAMEA104472035
GCA_900583035.1	p1.D1	Pseudomonas viridiflava					p1.D1		PRJEB24450	SAMEA104472036
