species,n,mapped_n,name,color
psyr,866,29,P. syringae,#679699
psav,53,3,P. savastanoi,#74B3A2
pvir,229,3,P. viridiflava,#C9E8AE
ppro,79,1,P. protegens,#F5D58B
pbra,36,3,P. brassicacearum,#EA9C7E
pflu,659,10,P. fluorescens,#CC5E58
