BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJEB24450,cluster137,cluster18,cluster140,cluster18,cluster19,cluster18,1
PRJEB24450,cluster138,cluster218,cluster250,cluster225,cluster186,cluster150,1
PRJEB24450,cluster139,cluster219,cluster252,cluster227,cluster187,cluster151,1
PRJEB24450,cluster140,cluster220,cluster253,cluster229,cluster188,cluster152,1
PRJEB24450,cluster141,cluster165,cluster255,cluster232,cluster191,cluster112,4
PRJEB24450,cluster141,cluster165,cluster259,cluster236,cluster191,cluster112,1
PRJEB24450,cluster142,cluster43,cluster220,cluster149,cluster39,cluster18,1
PRJEB24450,cluster143,cluster43,cluster147,cluster136,cluster39,cluster18,1
PRJEB24450,cluster144,cluster225,cluster260,cluster237,cluster192,cluster154,1
PRJEB24450,cluster145,cluster228,cluster145,cluster132,cluster125,cluster90,1
PRJEB24450,cluster146,cluster230,cluster263,cluster241,cluster194,cluster157,1
PRJEB24450,cluster147,cluster231,cluster264,cluster242,cluster195,cluster158,1
PRJEB24450,cluster148,cluster233,cluster266,cluster243,cluster196,cluster159,1
PRJEB24450,cluster148,cluster236,cluster268,cluster245,cluster198,cluster161,1
PRJEB24450,cluster148,cluster236,cluster278,cluster254,cluster207,cluster161,3
PRJEB24450,cluster149,cluster234,cluster267,cluster244,cluster197,cluster160,1
PRJEB24450,cluster149,cluster246,cluster280,cluster259,cluster209,cluster170,1
PRJEB24450,cluster149,cluster246,cluster282,cluster261,cluster210,cluster170,1
PRJEB24450,cluster15,cluster213,cluster244,cluster193,cluster180,cluster14,1
PRJEB24450,cluster150,cluster237,cluster269,cluster246,cluster199,cluster162,3
PRJEB24450,cluster150,cluster247,cluster284,cluster263,cluster212,cluster162,1
PRJEB24450,cluster151,cluster239,cluster271,cluster203,cluster201,cluster136,3
PRJEB24450,cluster152,cluster240,cluster272,cluster248,cluster202,cluster163,1
PRJEB24450,cluster153,cluster43,cluster147,cluster136,cluster39,cluster164,1
PRJEB24450,cluster154,cluster241,cluster274,cluster249,cluster203,cluster165,1
PRJEB24450,cluster155,cluster242,cluster275,cluster251,cluster204,cluster166,2
PRJEB24450,cluster156,cluster243,cluster276,cluster252,cluster205,cluster167,1
PRJEB24450,cluster157,cluster244,cluster277,cluster253,cluster206,cluster168,1
PRJEB24450,cluster158,cluster201,cluster279,cluster256,cluster208,cluster135,1
PRJEB24450,cluster159,cluster246,cluster283,cluster262,cluster211,cluster170,1
PRJEB24450,cluster160,cluster8,cluster72,cluster9,cluster59,cluster173,1
PRJEB24450,cluster160,cluster8,cluster72,cluster9,cluster59,cluster5,1
PRJEB24450,cluster161,cluster226,cluster287,cluster266,cluster213,cluster134,1
PRJEB24450,cluster162,cluster249,cluster40,cluster267,cluster214,cluster171,1
PRJEB24450,cluster163,cluster250,cluster290,cluster269,cluster215,cluster172,1
PRJEB24450,cluster164,cluster251,cluster292,cluster271,cluster216,cluster174,1
PRJEB24450,cluster165,cluster177,cluster293,cluster116,cluster217,cluster25,1
PRJEB24450,cluster18,cluster119,cluster136,cluster270,cluster19,cluster18,1
PRJEB24450,cluster18,cluster126,cluster136,cluster156,cluster19,cluster99,22
PRJEB24450,cluster18,cluster126,cluster245,cluster217,cluster19,cluster18,1
PRJEB24450,cluster18,cluster18,cluster140,cluster141,cluster119,cluster18,3
PRJEB24450,cluster18,cluster18,cluster20,cluster175,cluster165,cluster133,19
PRJEB24450,cluster18,cluster18,cluster222,cluster18,cluster165,cluster18,119
PRJEB24450,cluster18,cluster18,cluster233,cluster175,cluster174,cluster142,2
